Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
57.599998,58.41,57.23,58.23,58.23,56682400,2014,Jan,339
58.650002,58.959999,56.650002,57.220001,57.220001,92253300,2014,Jan,340
57.130001,58.299999,57.060001,57.939999,57.939999,42449500,2014,Jan,341
57.91,58.25,55.380001,55.91,55.91,63010900,2014,Jan,342
56.459999,57.779999,56.099998,57.740002,57.740002,37503600,2014,Jan,343
57.98,58.57,57.27,57.599998,57.599998,33663400,2014,Jan,344
57.259998,58.02,56.830002,57.189999,57.189999,34541800,2014,Jan,345
57.299999,57.82,56.07,56.299999,56.299999,40849200,2014,Jan,346
56.599998,58.580002,56.5,58.509998,58.509998,48669200,2014,Jan,347
58.849998,59.310001,57.099998,57.509998,57.509998,61352900,2014,Jan,348
56.369999,56.68,55.689999,56.630001,56.630001,47951800,2014,Jan,349
56.150002,56.419998,54.400002,54.450001,54.450001,55200700,2014,Jan,350
54.73,54.939999,51.849998,53.549999,53.549999,73924100,2014,Jan,351
54.02,55.279999,54,55.139999,55.139999,48191200,2014,Jan,352
54.610001,54.950001,53.189999,53.529999,53.529999,92995600,2014,Jan,353
62.119999,62.5,60.459999,61.080002,61.080002,150178900,2014,Jan,354
60.470001,63.369999,60.169998,62.57,62.57,87794600,2014,Jan,355
63.029999,63.77,60.700001,61.48,61.48,74866600,2014,Feb,356
62.049999,63.139999,61.82,62.75,62.75,45985500,2014,Feb,357
62.740002,63.16,61.27,62.189999,62.189999,51685100,2014,Feb,358
61.459999,62.779999,61.459999,62.16,62.16,42086500,2014,Feb,359
62.27,64.57,62.220001,64.32,64.32,60704300,2014,Feb,360
64.300003,64.489998,63.470001,63.549999,63.549999,43666100,2014,Feb,361
63.75,65,63.349998,64.849998,64.849998,45675600,2014,Feb,362
64.919998,65.059998,64.050003,64.449997,64.449997,47282100,2014,Feb,363
64.18,67.330002,64.050003,67.330002,67.330002,61911700,2014,Feb,364
67.5,67.580002,66.720001,67.089996,67.089996,36694900,2014,Feb,365
66.940002,67.540001,66.07,67.300003,67.300003,43809900,2014,Feb,366
67.050003,69.080002,67,68.059998,68.059998,62087100,2014,Feb,367
67.730003,70.110001,65.730003,69.629997,69.629997,130928900,2014,Feb,368
69.690002,69.959999,68.449997,68.589996,68.589996,70932400,2014,Feb,369
68.739998,71.440002,68.540001,70.779999,70.779999,76620300,2014,Feb,370
70.949997,71,69.449997,69.849998,69.849998,52077000,2014,Feb,371
70.190002,71.220001,68.849998,69.260002,69.260002,55322700,2014,Feb,372
69.339996,70.010002,68.870003,68.940002,68.940002,41653700,2014,Feb,373
69.470001,69.879997,67.379997,68.459999,68.459999,66783700,2014,Feb,374
66.959999,68.050003,66.510002,67.410004,67.410004,56824100,2014,Mar,375
68.660004,68.900002,67.620003,68.800003,68.800003,42013500,2014,Mar,376
69.690002,71.970001,69.620003,71.57,71.57,74567700,2014,Mar,377
71.879997,71.889999,70.25,70.839996,70.839996,46026500,2014,Mar,378
71.080002,71.18,69.470001,69.800003,69.800003,38927000,2014,Mar,379
70.769997,72.150002,70.510002,72.029999,72.029999,59871600,2014,Mar,380
72.5,72.589996,69.959999,70.099998,70.099998,59408300,2014,Mar,381
69.860001,71.349998,69,70.879997,70.879997,46340500,2014,Mar,382
71.290001,71.349998,68.150002,68.830002,68.830002,57091000,2014,Mar,383
